CATEGORY_Game,CATEGORY_Non Game,FREE,AD_SUPPORTED,INSTALLS_GROUP,PRICEBAND,SIZEBAND,IN_APP_PURCHASES,DAYS_SINCE_UPDATE_RANGE,REVIEW_COUNT,RATING_COUNT
1.0,0.0,1,1,1,0,4,1,4,340.0,18822
1.0,0.0,1,1,1,0,2,0,1,2904.0,96541
1.0,0.0,1,1,1,0,4,0,2,370.0,20082
0.0,1.0,1,1,1,0,1,0,3,27.0,1974
1.0,0.0,0,0,0,1,4,0,4,10.0,92
0.0,1.0,1,1,1,0,2,0,3,6.0,1980
0.0,1.0,1,1,0,0,1,1,1,63.0,526
0.0,1.0,1,1,0,0,4,1,0,167.0,9366
0.0,1.0,1,1,0,0,1,0,3,6.0,35
0.0,1.0,0,0,0,1,2,0,4,8.0,74
0.0,1.0,1,0,0,0,2,1,0,195.0,628
1.0,0.0,1,1,1,0,4,1,3,1526.0,46531
1.0,0.0,1,1,1,0,3,1,0,978.0,6174
0.0,1.0,1,0,0,0,1,0,0,7.0,739
0.0,1.0,1,1,0,0,3,1,1,20.0,1124
1.0,0.0,1,1,1,0,4,1,2,440.0,20997
0.0,1.0,1,0,0,0,2,1,4,2.0,89
0.0,1.0,1,1,0,0,1,0,4,5.0,276
1.0,0.0,1,1,0,0,3,0,1,48.0,153
0.0,1.0,1,1,0,0,1,0,4,2.0,5
0.0,1.0,1,0,0,0,1,0,3,87.0,205
0.0,1.0,1,1,0,0,2,1,0,180.0,6370
1.0,0.0,1,1,1,0,4,0,3,39.0,1515
0.0,1.0,1,0,0,0,2,0,4,5.0,14
0.0,1.0,1,0,0,0,2,1,2,3.0,5
0.0,1.0,1,1,0,0,2,1,3,2000.0,5894
0.0,1.0,1,1,1,0,1,1,0,26.0,1885
1.0,0.0,1,1,1,0,4,1,0,16.0,1419
1.0,0.0,1,0,0,0,2,1,2,80.0,357
0.0,1.0,1,0,0,0,1,1,2,16.0,580
1.0,0.0,1,1,0,0,2,0,0,35.0,350
0.0,1.0,1,0,0,0,2,1,1,2.0,28
1.0,0.0,1,1,0,0,2,1,3,14.0,165
0.0,1.0,1,0,0,0,1,1,3,20.0,889
0.0,1.0,1,1,0,0,2,0,2,137.0,232
0.0,1.0,1,0,0,0,4,0,3,25.0,76
0.0,1.0,1,0,0,0,0,0,2,14.0,448
1.0,0.0,1,1,0,0,2,1,2,348.0,1597
1.0,0.0,1,1,0,0,1,1,2,229.0,549
0.0,1.0,0,0,0,1,2,1,3,19.0,197
0.0,1.0,1,1,0,0,2,0,2,150.0,21179
1.0,0.0,1,1,1,0,2,1,0,636.0,28747
1.0,0.0,1,1,0,0,4,0,2,87.0,203
1.0,0.0,1,1,0,0,4,1,2,19.0,924
1.0,0.0,1,1,1,0,3,0,2,647.0,143838
0.0,1.0,1,0,0,0,1,1,5,113.0,1227
1.0,0.0,1,1,0,0,2,1,4,11.0,381
0.0,1.0,0,0,0,1,2,0,0,9.0,38
1.0,0.0,1,0,0,0,4,1,2,8.0,3432
1.0,0.0,1,1,0,0,2,1,1,45.0,367
1.0,0.0,1,1,1,0,2,1,1,189.0,23820
0.0,1.0,1,1,1,0,0,0,3,38.0,2040
0.0,1.0,1,1,1,0,2,1,3,57.0,3844
1.0,0.0,1,1,0,0,3,1,3,254.0,1111
0.0,1.0,1,0,1,0,1,1,1,10.0,6290
1.0,0.0,1,0,0,0,2,1,3,7.0,391
0.0,1.0,1,1,0,0,0,0,4,209.0,302
1.0,0.0,1,1,1,0,2,0,2,386.0,46955
