DEVELOPER_ADDRESS,DEVELOPER_ADDRESS_PRED
"PO Box 12
Dewberry, AB
T0B 1G0
Canada",undefined
"64 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong","64 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong"
"Vladimir Demirev
Sofia
Bulgaria","Sofia, Bulgaria"
"142 Henry St.  5W
New York, NY  10002","142 Henry St, New York, NY 10002, USA"
"New York, USA","New York, NY, USA"
"305, ST19, SEC1, AECHS, RWP, PK","Street 19, Sector 1 Airport Employees CHS, Rawalpindi, Pakistan"
"Orrabacken 16
827 52 Järvsö
Sweden","Orrabacken 16, Järvsö, Sweden"
"488 Topaz Lane
Bartlett, IL. 60103","488 Topaz Lane, Bartlett, IL 60103, USA"
"10284 Canoe Brook Circle
Boca Raton, FL
33498","10284 Canoe Brook Circle, Boca Raton, FL 33498, USA"
"Diego Palma 114,
San Isidro,
Buenos Aires,
Argentina","Diego Palma 114, San Isidro, Buenos Aires, Argentina"
"1335 Garfield St.
Medford, OR 97501","1335 Garfield St, Medford, OR 97501, USA"
"2 Ferrestone Road
London
N87BX","2 Ferrestone Road, London N8 7BX, UK"
"13 Station Road, Lincolnshire, East Midlands, United Kingdom","13 Station Road, North Hykeham, Lincoln, Lincolnshire, United Kingdom"
"Place de la Métropole 2
1204 Geneva
Switzerland","Place de la Métropole 2, 1204 Geneva, Switzerland"
"9-23 Shell Street, North Point, Hong Kong","Digital Marketing Assoication of Hong Kong, 9-23 Shell Street, North Point, Hong Kong"
"Bundesstraße 70
20144 Hamburg
Germany","Bundesstraße 70, 20144 Hamburg, Germany"
"ZorillaSoft
Rosenstraße 12
97534 Waigolshausen","Rosenstraße 12, 97534 Waigolshausen, Germany"
"RadonSoft GmbH, Fehrstieg 1d, 25938 Wyk auf Föhr, Germany
USt.ID: DE271458187","RadonSoft GmbH, Fehrstieg 1d, 25938 Wyk auf Föhr, Germany"
"NLL

86-90 Paul Street
London
EC2A 4NE
UNITED KINGDOM","86-90 Paul Street, London EC2A 4NE, United Kingdom"
"Czech Republic, Semice","Semice, Czech Republic"
"Fortaleza, Brasil","Fortaleza - State of Ceará, Brasil"
"Pragmatheorist
Jaspiskuja 10 A 22
01700 Vantaa
Finland","Jaspiskuja 10, Vantaa, Finland"
"2366 Bayberry Ln
Castle Rock, CO 80104","2366 Bayberry Ln, Castle Rock, CO 80104, USA"
"Fehrbelliner Str.91
D-10119 Berlin","Fehrbelliner Straße 91, Berlin, Germany"
"4015-2, Yanokuchi, Inagi-shi, Tokyo, 206-0812, Japan
","4015-2 Yanokuchi, Inagi, Tokyo, Japan"
"LC1F, 2-16-12, Jiyugaoka, Meguro Ku, Tokyo, 152-0035, JAPAN","2 Chome-16-12 Jiyugaoka, Meguro City, Tokyo, Japan"
"Sartre,
82330 Ginal,
France","82330 Ginals, France"
13 andante st falcon 6210,"13 Andante St, Falcon WA 6210, Australia"
"mystage.fm UG (haftungsbeschränkt)
Wikingerstraße 29
81549 München","mystage.fm UG (haftungsbeschränkt), Wikingerstraße 29, 81549 München, Germany"
"Jl. Guru Saliin no.55 RT005RW005, Ulujami, Pesanggrahan, Jakarta Selatan, DKI Jakarta, Indonesia.","Jalan Guru Sali'in No.55, RT.5/RW.5, Ulujami, South Jakarta City, Jakarta, Indonesia"
"Mercury Mobile Solutions Ltd
3 Devonshire Street
London
W1W 5DT
","3 Devonshire Street, London W1W 5DT, UK"
6A Avenue de l'Europe 35340 Liffré,"6a Avenue de l'Europe, 35340 Liffré, France"
"3-630, Ishiura-cho,
Takayama-shi,
Gifu, JAPAN","Genky Ishiura, 2 Chome-150 Ishiuramachi, Takayama City, Gifu, Japan"
"115 Garfield Ave, W Jefferson, OH, 43162","115 Garfield Ave, West Jefferson, OH 43162, USA"
"453 Eatons Crossing Rd, Eatons Hill, Q4037","453 Eatons Crossing Rd, Eatons Hill QLD, Australia"
"Bac Giang, VN","Bắc Giang, Bac Giang, Vietnam"
"Mykoly Bazhana ave., 9V, STE 23
02121 Kyiv
Ukraine",undefined
"Sonic Age Ltd
Crystal Cottage
St John's in the Vale
Cumbria CA12 4TS
UK","St John's in the Vale, Keswick, Cumbria CA12 4TS, UK"
"77355 Calle Potrero
La Quinta, CA 92253","77355 Calle Potrero, La Quinta, CA 92253, USA"
135 s 5th ave  2,"135 S 5th Ave, Wilmington, NC 28401, USA"
"112 Williamsburg Lane
Woodstock, GA
30189","112 Williamsburg Lane, Woodstock, GA 30189, USA"
"Ukraine, 04112, Kiev, Jabaeva str. 22",undefined
"156 Woodbury Cres,
Newmarket, Ontario, Canada
L3X 2S5","156 Woodbury Crescent, Newmarket, Ontario L3X 2S5, Canada"
"Brickyard - East Germantown - Philadelphia, PA","East Germantown, Philadelphia, PA, USA"
"GoneMAD Software LLC
472 Amherst St, Suite 710455
Nashua, NH 03063","472 Amherst Street, Nashua, NH, USA"
Earth. Only email goodwy.dev@gmail.com,undefined
"PO Box 261
Arvada, CO 80001","Arvada, CO 80001, USA"
"1100 North Glebe Road Suite 1010
Arlington VA 22201","1100 North Glebe Road, Arlington, VA 22201, USA"
"1B, Tower 6, Hanley Villa, Tsuen Wan, Hong Kong","Hanley Villa, Yau Lai Road, Tsuen Wan, Hong Kong"
"3044 San Francisco, CA 94104 USA","San Francisco, CA, USA"
"6609 Osprey Lake Cir
Riverview, FL 33578","6609 Osprey Lake Cir, Riverview, FL 33578, USA"
"Ladenburgerstr 20
69493 Hirschberg
Deutschland","Ladenburger Straße 20, 69493 Hirschberg, Deutschland"
"7 West View Court,
Yeadon,
Leeds,
LS197HX","7 West View Court, Yeadon, Leeds LS19 7HX, UK"
"BP5, 24240 Sigoules (France)","Sigoulès, 24240 Sigoulès-et-Flaugeac, France"
"2405 Pine St.
PO Box 46837
Vancouver, BC
V6J 5M4","2405 Pine St, Vancouver, BC V6J 5M4, Canada"
"Unsernherrner Str. 11c
85053 Ingolstadt","Unsernherrner Str. 11c, 85053 Ingolstadt, Germany"
"Siddharth Nagar Colony
Nathmalpur
Gorakhnath-273015
Gorakhpur","Nathmalpur, Rajendra Nagar, Gorakhpur, Uttar Pradesh, India"
"Väversunda 133
59993 Ödeshög","Väversunda 133, Ödeshög, Sweden"
"Israel, Modi'in","Modi'in-Maccabim-Re'ut, Israel"
"6 The Corso
Manly, 2095, NSW
Australia","6 The Corso, Manly NSW 2095, Australia"
"Michael Eskin
2235 Via Verde
El Cajon, CA 92019","2235 Via Verde, El Cajon, CA 92019, USA"
"Nicolas Avellaneda 1811 Departamento 12, Florida, Vicente Lopez","Nicolás Avellaneda 1811, Florida, Vicente López, Buenos Aires Province, Argentina"
"Box 631
Hainesport, NJ
08036","Hainesport, NJ 08036, USA"
"Bulnes 1579, 2 C","Immeuble Nevada, 2 Rue du Château de l'Eraudière, Nantes, France"
"6233 Magnolia Drive
Newburgh, Indiana 47630
United States","6233 Magnolia Drive, Newburgh, Indiana 47630, United States"
"Str. Dr. Mihail Obedenaru, Bl. X24/1, Sc. A, Et. 2, Ap. 09
310389 Arad
Romania",undefined
"470 North Bridge Road,  05-12 Bugis Cube, Singapore 188735","470 North Bridge Road, Bugis Cube, Singapore 188735"
"Waterkers 3
1689 PG Zwaag
The Netherlands","Waterkers 3, 1689 PG Zwaag, The Netherlands"
"PO Box 2038
Hampton East
VIC 3188
Australia",undefined
"1149 Jonmart Ave SE, Salem, OR 97306","1149 Jonmart Ave SE, Salem, OR 97306, USA"
Zafer Caddesi No 1 Turkey,"Kazımdirik, Zafer Caddesi no 1, Bornova/İzmir, Turkey"
"1831 NE 60th Ave
Portland, OR 97213","1831 NE 60th Ave, Portland, OR 97213, USA"
"PVD - Pfitzinger Voice Design
Gr. Burgstr. 30
23552 Lübeck
Germany",undefined
88 Boukhris Raouebi Bizerte,"Nouvelle Clinique Raouebi, Bizerte, Tunisia"
